fipstate,fipscty,naics,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,n<5,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4
22,063,62131/,G,16,G,188,H,987,3,N,N,N,N,N,N,N,N,N,N,N,N,N
22,063,621310,G,16,G,188,H,987,3,N,N,N,N,N,N,N,N,N,N,N,N,N
22,063,62132/,H,48,H,421,H,1830,6,N,3,N,N,N,N,N,N,N,N,N,N,N
22,063,621320,H,48,H,421,H,1830,6,N,3,N,N,N,N,N,N,N,N,N,N,N
22,063,62133/,G,64,G,600,G,2268,8,4,N,3,N,N,N,N,N,N,N,N,N,N
22,063,621330,G,64,G,600,G,2268,8,4,N,3,N,N,N,N,N,N,N,N,N,N
22,063,62134/,H,241,H,2447,H,9450,21,7,4,8,N,N,N,N,N,N,N,N,N,N
22,063,621340,H,241,H,2447,H,9450,21,7,4,8,N,N,N,N,N,N,N,N,N,N
22,063,62139/,J,50,G,573,G,2580,12,10,N,N,N,N,N,N,N,N,N,N,N,N
22,063,621399,J,50,G,573,G,2580,12,10,N,N,N,N,N,N,N,N,N,N,N,N
22,063,6214//,H,201,H,2491,H,11206,14,4,N,3,5,N,N,N,N,N,N,N,N,N
22,063,62142/,H,46,H,364,H,1712,4,3,N,N,N,N,N,N,N,N,N,N,N,N
22,063,621420,H,46,H,364,H,1712,4,3,N,N,N,N,N,N,N,N,N,N,N,N
22,063,62149/,H,155,H,2127,G,9494,10,N,N,3,4,N,N,N,N,N,N,N,N,N
22,063,621493,H,96,G,1371,G,6307,6,N,N,N,3,N,N,N,N,N,N,N,N,N
22,063,6215//,G,5,J,67,J,258,3,3,N,N,N,N,N,N,N,N,N,N,N,N
22,063,62151/,G,5,J,67,J,258,3,3,N,N,N,N,N,N,N,N,N,N,N,N
22,063,6216//,H,92,J,691,J,2761,5,N,N,N,N,N,N,N,N,N,N,N,N,N
22,063,62161/,H,92,J,691,J,2761,5,N,N,N,N,N,N,N,N,N,N,N,N,N
22,063,621610,H,92,J,691,J,2761,5,N,N,N,N,N,N,N,N,N,N,N,N,N
22,063,623///,H,503,H,4011,H,16897,10,N,N,3,3,N,N,N,N,N,N,N,N,N
22,063,6232//,J,53,H,398,H,1554,4,N,N,N,N,N,N,N,N,N,N,N,N,N
22,063,62321/,H,33,G,223,G,1023,3,N,N,N,N,N,N,N,N,N,N,N,N,N
22,063,623210,H,33,G,223,G,1023,3,N,N,N,N,N,N,N,N,N,N,N,N,N
22,063,6233//,G,77,H,394,G,1613,4,N,N,N,N,N,N,N,N,N,N,N,N,N
22,063,62331/,G,77,H,394,G,1613,4,N,N,N,N,N,N,N,N,N,N,N,N,N
22,063,623312,G,77,H,394,G,1613,4,N,N,N,N,N,N,N,N,N,N,N,N,N
22,063,624///,G,831,G,4161,G,17419,50,14,5,11,18,N,N,N,N,N,N,N,N,N
22,063,6241//,G,260,H,1597,H,7871,13,5,N,N,3,N,N,N,N,N,N,N,N,N
22,063,62412/,G,157,G,792,G,3686,5,N,N,N,3,N,N,N,N,N,N,N,N,N
22,063,624120,G,157,G,792,G,3686,5,N,N,N,3,N,N,N,N,N,N,N,N,N
22,063,62419/,H,91,H,725,J,3866,6,3,N,N,N,N,N,N,N,N,N,N,N,N
22,063,624190,H,91,H,725,J,3866,6,3,N,N,N,N,N,N,N,N,N,N,N,N
22,063,6243//,G,52,G,219,H,533,3,N,N,N,N,N,N,N,N,N,N,N,N,N
22,063,62431/,G,52,G,219,H,533,3,N,N,N,N,N,N,N,N,N,N,N,N,N
22,063,624310,G,52,G,219,H,533,3,N,N,N,N,N,N,N,N,N,N,N,N,N
22,063,6244//,G,514,G,2315,G,8899,32,6,3,9,14,N,N,N,N,N,N,N,N,N
22,063,62441/,G,514,G,2315,G,8899,32,6,3,9,14,N,N,N,N,N,N,N,N,N
22,063,624410,G,514,G,2315,G,8899,32,6,3,9,14,N,N,N,N,N,N,N,N,N
22,063,71----,G,371,G,1329,G,5381,27,14,4,3,4,N,N,N,N,N,N,N,N,N
22,063,711///,J,9,H,29,G,94,4,3,N,N,N,N,N,N,N,N,N,N,N,N
22,063,713///,G,362,G,1300,G,5287,23,11,3,3,4,N,N,N,N,N,N,N,N,N
22,063,7132//,J,56,J,251,J,982,4,N,N,3,N,N,N,N,N,N,N,N,N,N
22,063,71329/,J,56,J,251,J,982,4,N,N,3,N,N,N,N,N,N,N,N,N,N
22,063,713290,J,56,J,251,J,982,4,N,N,3,N,N,N,N,N,N,N,N,N,N
22,063,7139//,H,222,H,929,H,3874,18,11,3,N,3,N,N,N,N,N,N,N,N,N
22,063,71394/,G,89,G,455,G,1876,12,8,N,N,N,N,N,N,N,N,N,N,N,N
22,063,713940,G,89,G,455,G,1876,12,8,N,N,N,N,N,N,N,N,N,N,N,N
22,063,71399/,J,77,J,160,J,605,3,N,N,N,N,N,N,N,N,N,N,N,N,N
22,063,713990,J,77,J,160,J,605,3,N,N,N,N,N,N,N,N,N,N,N,N,N
22,063,72----,G,4313,G,19491,G,80257,228,59,40,55,54,16,4,N,N,N,N,N,N,N
22,063,721///,H,108,G,561,G,2432,16,7,3,5,N,N,N,N,N,N,N,N,N,N
22,063,7211//,H,89,G,471,G,2038,14,6,3,4,N,N,N,N,N,N,N,N,N,N
22,063,72111/,H,84,G,429,G,1847,12,4,3,4,N,N,N,N,N,N,N,N,N,N
22,063,721110,H,84,G,429,G,1847,12,4,3,4,N,N,N,N,N,N,N,N,N,N
22,063,722///,G,4205,G,18930,G,77825,212,52,37,50,53,16,4,N,N,N,N,N,N,N
22,063,7223//,H,23,H,62,J,247,4,N,N,N,N,N,N,N,N,N,N,N,N,N
22,063,72233/,J,12,J,24,H,78,3,N,N,N,N,N,N,N,N,N,N,N,N,N
22,063,722330,J,12,J,24,H,78,3,N,N,N,N,N,N,N,N,N,N,N,N,N
22,063,7224//,H,63,G,282,G,1234,15,7,8,N,N,N,N,N,N,N,N,N,N,N
22,063,72241/,H,63,G,282,G,1234,15,7,8,N,N,N,N,N,N,N,N,N,N,N
22,063,722410,H,63,G,282,G,1234,15,7,8,N,N,N,N,N,N,N,N,N,N,N
